SubmissionDate;meta-instanceID;tipo;outro-lixo;onde;outro-aonde;lugar-Latitude;lugar-Longitude;lugar-Altitude;lugar-Accuracy;foto;KEY
;uuid:9fa9c3f6-627c-40a7-95a5-a6f00531c6b1;plastico;lata / papel / orgânico;margem;;-22.5926655024;-43.4141966956;18.6992795058;4.9;1568901178513.jpg;uuid:9fa9c3f6-627c-40a7-95a5-a6f00531c6b1
;uuid:be22be3b-e8a1-4b05-8a84-fe35e0f96d30;plastico;;margem;;-22.5924785712;-43.4140226945;33.6924624015;4.9;1568899394369.jpg;uuid:be22be3b-e8a1-4b05-8a84-fe35e0f96d30
;uuid:c167c8d7-1e34-4bc7-ba28-3638907258f9;plastico;orgânico / lata  / não reciclável;margem;;-22.5925818776;-43.4145275039;21.2320584906;4.9;1568899170002.jpg;uuid:c167c8d7-1e34-4bc7-ba28-3638907258f9
;uuid:d69624fd-e0a8-47f0-9aa4-40f1a783ef7b;plastico;;margem;;-22.5926099818;-43.4140809956;10.3096657554;4.9;1568901252140.jpg;uuid:d69624fd-e0a8-47f0-9aa4-40f1a783ef7b
;uuid:de92c2c0-c505-4485-9f9b-ba3b6869209c;plastico;;margem;;-22.5926763833;-43.4142488882;17.1154907849;4.9;1568899290709.jpg;uuid:de92c2c0-c505-4485-9f9b-ba3b6869209c
;uuid:e73f39ab-9a03-4151-887b-e682a8320727;lata;;margem;;-22.5926342759;-43.4140206586;33.5506217163;4.9;1568901586559.jpg;uuid:e73f39ab-9a03-4151-887b-e682a8320727
;uuid:f9353ffe-e4e7-437e-ac6c-77a2967dc5bf;tixolo;não reciclável;margem;;-22.5927204448;-43.4144078509;31.257372058;4.9;1568900937254.jpg;uuid:f9353ffe-e4e7-437e-ac6c-77a2967dc5bf
;uuid:d6d6a764-da4b-4032-af95-969e550e6883;plastico;lata;rio;;-22.5924645288;-43.4138379687;21.1128074406;4.9;1568900040036.jpg;uuid:d6d6a764-da4b-4032-af95-969e550e6883
;uuid:d7c00e22-9999-4e70-ab07-5bacafcbb072;plastico;;margem;;-22.5925706264;-43.4141917482;24.1785912719;4.9;1568899352075.jpg;uuid:d7c00e22-9999-4e70-ab07-5bacafcbb072
;uuid:5aeadcbc-f473-46a7-9413-c07bf6d4eaa5;madeira;plástico;margem;;-22.5925625306;-43.4139615978;-1.7119893255;4.9;1568901636483.jpg;uuid:5aeadcbc-f473-46a7-9413-c07bf6d4eaa5
;uuid:6cb76166-8fe8-4f94-ab49-6b73d9fc2bc4;lata;;margem;;-22.5925877021;-43.4140449404;23.7242613984;4.9;1568899934707.jpg;uuid:6cb76166-8fe8-4f94-ab49-6b73d9fc2bc4
;uuid:73a0a2ec-aeb8-44a8-8151-fb50293e3992;plastico;orgânico;margem;;-22.5926463099;-43.4144653157;24.9201341746;4.9;1568899221822.jpg;uuid:73a0a2ec-aeb8-44a8-8151-fb50293e3992
;uuid:7d8665cb-4d0a-407f-8096-f13535e220fc;madeira;;margem;;-22.592524393;-43.4143581728;41.2938956125;4.9;1568901048212.jpg;uuid:7d8665cb-4d0a-407f-8096-f13535e220fc
;uuid:8a329d79-efa9-48ff-9e6f-8f0a7ad5da3f;tijolo;concreto;margem;;-22.5926079001;-43.4142921033;37.4424810773;4.9;1568901732242.jpg;uuid:8a329d79-efa9-48ff-9e6f-8f0a7ad5da3f
;uuid:236e23a0-9b0e-4711-9f23-5d02c4bd42a6;tessido;;mato;;-22.5925752809;-43.4140003177;11.2092417888;4.9;1568900185574.jpg;uuid:236e23a0-9b0e-4711-9f23-5d02c4bd42a6
;uuid:2f770799-7477-4977-973c-d2963e2b65cd;plastico;;rio;;-22.5926926943;-43.4143512715;49.4651439628;4.9;1568899824030.jpg;uuid:2f770799-7477-4977-973c-d2963e2b65cd
;uuid:34bb1cc4-c82b-4c6f-83be-a7d71a13ed8d;plastico;;rio;;-22.5926689413;-43.4140021697;31.6120728459;4.9;1568901309063.jpg;uuid:34bb1cc4-c82b-4c6f-83be-a7d71a13ed8d
;uuid:3d4ef7a8-a7ea-4cb7-9a6e-ff5713e7030b;plastico;;rio;;-22.5926478391;-43.4139691596;23.7131219087;4.9;1568901549368.jpg;uuid:3d4ef7a8-a7ea-4cb7-9a6e-ff5713e7030b
